order_id,order_date,customer_name,customer_email,product,category,quantity,unit_price,country
1001,2024-12-23,فاطمه رضایی,fateme.rezaei@email.com,لپ‌تاپ HP,الکترونیکی,4,2500,کویت
1002,2024-12-23,فاطمه رضایی,fateme.rezaei@email.com,چای ایرانی,غذایی,10,30,ترکیه
1003,2024-12-23,احمد علی,ahmad.ali@email.com,موس لاجیک,الکترونیکی,4,150,قطر
1004,2024-12-23,احمد علی,ahmad.ali@email.com,چای ایرانی,غذایی,9,30,قطر
n,2024-12-23,مریم تقی‌زاده,maryam.tagizade@email.com,کلاه ورزشی,پوشاک,1,200,کویت
1006,2024-12-23,علی محمدی,ali.mohammadi@email.com,کتاب داتا‌ساینس,کتاب,5,180,سعودی
1007,2024-12-23,نرگس فرهادی,narges.fahadi@email.com,موس لاجیک,الکترونیکی,0,150,ترکیه
1008,2024-12-23,سارا سلطانی,sara.soltani@email.com,شارژر سریع,الکترونیکی,8,250,ایران
1009,2024-12-23,رضا شاهرخی,reza.shahrokhi@email.com,موس لاجیک,الکترونیکی,10,150,کویت
1010,2024-12-23,نرگس فرهادی,,کلاه ورزشی,پوشاک,2,200,قطر
1011,2024-11-23,محمد کریمی,mohammad.karimi@email.com,موس لاجیک,الکترونیکی,2,150,قطر
1012,2024-12-23,مریم تقی‌زاده,maryam.tagizade@email.com,کتاب پایتون,کتاب,6,120,امارات
1013,2024-12-23,محمد کریمی,mohammad.karimi@email.com,موس لاجیک,الکترونیکی,9,150,امارات
1014,2024-12-23,علی محمدی,ali.mohammadi@email.com,قهوه اسپرسو,غذایی,5,50,لبنان
1015,2024-12-23,حسن نوری,hassan.nouri@email.com,هدفون Sony,الکترونیکی,1,600,سعودی
1016,2024-12-23,احمد علی,ahmad.ali@email.com,کتاب پایتون,کتاب,0,120,لبنان
1017,2024-12-23,سارا سلطانی,sara.soltani@email.com,کتاب پایتون,کتاب,8,120,قطر
1018,2024-12-23,مریم تقی‌زاده,maryam.tagizade@email.com,کیبورد مکانیکی,الکترونیکی,3,800,کویت
1019,2024-12-23,حسن نوری,hassan.nouri@email.com,چای ایرانی,غذایی,10,30,کویت
1020,2024-12-23,سارا سلطانی,sara.soltani@email.com,کتاب داتا‌ساینس,کتاب,4,180,سعودی
